run_id,company_id,company_name,sector,term,pd_baseline,pd_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002455,Arcelormittal Nippon Steel India Ltd,Steel,4,0.0010724475723892235,7.9285551135444e-4,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002455,Arcelormittal Nippon Steel India Ltd,Steel,5,0.0035588746553409933,0.0027942359115321613,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002771,Dalmine SpA,Steel,1,2.7633340060617684e-10,1.0054624910438292e-9,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002771,Dalmine SpA,Steel,2,8.079301354602109e-6,1.5479807211837837e-5,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002771,Dalmine SpA,Steel,3,2.6969467447035544e-4,4.170865742577634e-4,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002771,Dalmine SpA,Steel,4,0.0016182280316058284,0.0022478068838336362,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002771,Dalmine SpA,Steel,5,0.004846613281016987,0.006311026660141383,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000003270,Formosa Ha Tinh Steel Corp,Steel,1,4.5285997174460135e-12,0.0045869430451009885,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000003270,Formosa Ha Tinh Steel Corp,Steel,2,1.0284240115066012e-6,0.0386027587860045,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000003270,Formosa Ha Tinh Steel Corp,Steel,3,6.806431242611932e-5,0.08357320613463681,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000003270,Formosa Ha Tinh Steel Corp,Steel,4,5.754582291324084e-4,0.12648702229575004,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000003270,Formosa Ha Tinh Steel Corp,Steel,5,0.0021182235591953313,0.1648082417954565,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
