run_id,company_id,asset_id,company_name,asset_name,sector,technology,net_present_value_baseline,net_present_value_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012099,P100000121032-1,Yazdani Steel And Power Ltd,Yazdani Steel and Power Kalinganagar steel plant,Steel,EAF-DRI,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012115,P100000121165-1,NIlachal Iron & Power Ltd,Nilachal Iron & Power Gamharia Steel Plant,Steel,EAF-DRI,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012119,P100000120905-1,Alchevsk Metallurgical Plant Branch №1,Alchevsk Metallurgical Plant,Steel,BOF-BF,20671408738.813725,988091789.5750134,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012133,P100000120909-1,PJSC KAMET-STEEL,Metallurgical Plant Kametstal,Steel,BOF-BF,31334661.974792123,10741200.704029417,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012134,P100000121180-1,Mesco Integrated Steels Ltd,Maithan Ispat Kalinganagar Steel Plant,Steel,EAF-DRI,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012152,P100000121183-1,Shyam Metalics and Energy Limited,Shyam Metalics Jamuria Steel Plant,Steel,EAF-DRI,133645001.4275231,30785563.208096366,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012152,P100000121184-1,Shyam Metalics and Energy Limited,Shyam Metalics Sambalpur Steel Plant,Steel,EAF-DRI,99242505.59164426,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012159,P100000121072-1,"Hubei Xinxin Iron & Steel Group Co., Ltd.",Hubei Xinxin Iron & Steel Group Co Ltd,Steel,BOF-BF,271113531.4745943,57065511.05710338,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012160,P100000121174-1,Hai Kwang Enterprise Corporation,Hai Kwang Enterprise Corporation,Steel,EAF-MM,853144602.2037909,788855558.4007797,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012161,P100000121187-1,Orissa Metaliks Pvt Ltd,Orissa Metaliks Kharagpur Steel Plant,Steel,EAF-BF,1947247576.4465055,1800506506.0573237,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
